item_number	title	condition	description	email	type	piece_count	platform	media
263	Transformers 	Heavily Used	Wizards of the Coast   	usr034@gt.edu	Card Game			
264	RockMan Dash: Hagane no BoukenshinJP	Damaged/Missing parts	Capcom Production Studio 2   Capcom	usr034@gt.edu	Video Game		Nintendo	Cartridge
265	Starbound	Heavily Used	Chucklefish	usr034@gt.edu	Computer Game		macOS	
266	Frosty Adventures 	Like New	Jigsaw Puzzle By Ravensburger NEW	usr034@gt.edu	Jigsaw Puzzle	48		
267	Perfect Dark	Moderately Used	Rare   Rare	usr034@gt.edu	Video Game		Nintendo	Game card
268	Cranium	Damaged/Missing parts	United States  Single six-sided die rolled after completion of an activity	usr034@gt.edu	Board Game			
269	MicroBot	Like New	Shooter   Naked Sky Entertainment	usr034@gt.edu	Video Game		Xbox	Optical disc
270	Metro 2033	Lightly Used	Survival Horror, First-person Shooter   4A Games	usr034@gt.edu	Video Game		Xbox	Optical disc
271	Ms. Pac-Man Maze Madness	Mint	Mass Media Games   Namco	usr034@gt.edu	Video Game		Nintendo	Game card
272	Codename: Kids Next Door Trading Card Game 	Mint		usr035@gt.edu	Card Game			
273	Don: Continuing Criminal Enterprise 	Damaged/Missing parts	MythIntentions LLC   	usr035@gt.edu	Card Game			
274	Banemaster: The Adventure	Damaged/Missing parts		usr035@gt.edu	Card Game			
275	Vrooom! 	Moderately Used	Ikon Games   	usr035@gt.edu	Card Game			
276	Uckers	Moderately Used	England  Two six-sided dice	usr035@gt.edu	Board Game			
277	Gundam Cross War 	Like New	Bandai   	usr035@gt.edu	Card Game			
278	WarCry 	Damaged/Missing parts	Sabertooth Games   	usr035@gt.edu	Card Game			
279	Timestream: The Remnant	Like New	Cahaba Productions Inc.   	usr035@gt.edu	Card Game			
280	Assassin's Creed II	Mint	Ubisoft Montreal   Ubisoft	usr035@gt.edu	Computer Game		Windows	
281	Vandaria Wars Trading Card Game 	Like New	GameQuarters   	usr035@gt.edu	Card Game			
282	NBA Hangtime	Damaged/Missing parts		usr036@gt.edu	Video Game		Nintendo	Optical disc
283	Uckers	Moderately Used	England  Two six-sided dice	usr036@gt.edu	Board Game			
284	Wizards of Mickey 	Damaged/Missing parts	New Media Publishing   	usr036@gt.edu	Card Game			
285	Final Twilight TCG 	Lightly Used	Neo Productions Unlimited   	usr037@gt.edu	Card Game			
286	SimCity 2000	Moderately Used	Maxis   Electronic Arts	usr037@gt.edu	Computer Game		Linux	
287	Pentagon	Damaged/Missing parts	Andrea Farnham (art)	usr037@gt.edu	Jigsaw Puzzle	25		
288	World of Tanks	Heavily Used	Wargaming	usr038@gt.edu	Computer Game		Windows	
289	Devacurse Trading Card Game 	Like New	Gandharvas Studio   	usr038@gt.edu	Card Game			
290	Troy	Lightly Used	Chaosium  1977	usr038@gt.edu	Board Game			
291	Battles of the Ancient World: Marathon & Granicus	Damaged/Missing parts	Decision Games  2003	usr038@gt.edu	Board Game			
292	Iliad: The Siege of Troy	Damaged/Missing parts	Conflict Games  	usr038@gt.edu	Board Game			
293	Battlefield 1942: Secret Weapons of WWII	Lightly Used	Digital Illusions CE   Electronic Arts	usr038@gt.edu	Computer Game		macOS	
294	Matt Hazard: Blood Bath and Beyond	Lightly Used	Action & Adventure   Vicious Cycle Software	usr038@gt.edu	Video Game		Xbox	Game card
295	Monster Hunter Frontier G10	Damaged/Missing parts	Action role-playing, Expansion   Capcom	usr038@gt.edu	Video Game		Xbox	Cartridge
296	Namco Museum 64	Damaged/Missing parts		usr039@gt.edu	Video Game		Nintendo	Game card
297	Dollhouse Village	Lightly Used	Jim Schubert (art)	usr039@gt.edu	Jigsaw Puzzle	31		
298	Monster Hunter Frontier G1	Lightly Used	Action role-playing, Expansion   Capcom	usr039@gt.edu	Video Game		Xbox	Optical disc
299	A.R.E.S.: Extinction Agenda	Damaged/Missing parts	Extend Studio   Origo Games, Aksys Games	usr039@gt.edu	Computer Game		Windows	
300	Poptropica	Heavily Used		usr039@gt.edu	Computer Game		Windows	
301	Wheels of Aurelia	Mint	Santa Ragione S.r.l.	usr040@gt.edu	Computer Game		macOS	
302	Romeo and Juliet	Like New	Jennifer Brown	usr040@gt.edu	Jigsaw Puzzle	59		
303	Kick-Ass: The Game	Damaged/Missing parts	Frozen Codebase   Unreleased	usr040@gt.edu	Video Game		PlayStation	Cartridge
304	Apex Legends	Moderately Used	Respawn Entertainment   Electronic Arts	usr040@gt.edu	Computer Game		macOS	
305	Romeo and Juliet	Lightly Used	Jennifer Brown	usr040@gt.edu	Jigsaw Puzzle	59		
306	Stronghold Legends	Heavily Used	Firefly Studios   2K Games	usr040@gt.edu	Computer Game		macOS	
307	SimCity 2000	Heavily Used		usr040@gt.edu	Computer Game		Linux	
308	Super Meat Boy	Lightly Used		usr041@gt.edu	Computer Game		Windows	
309	Trouble	Mint	"United States  Two standard dice within a clear plastic ""pop-o-matic"" dome in the center of the board."	usr041@gt.edu	Board Game			
310	The Wheel of Time	Heavily Used	Precedence Entertainment   	usr041@gt.edu	Card Game			
311	Age of Pirates: Captain Blood	Damaged/Missing parts	THQ   1C Company, MTV Games	usr041@gt.edu	Computer Game		Windows	
312	Gridiron Fantasy Football	Heavily Used		usr041@gt.edu	Card Game			
313	Nintama Rantaro 64 Game Gallery	Damaged/Missing parts	Culture Brain   Culture Brain	usr041@gt.edu	Video Game		Nintendo	Game card
314	Dragon Quest TCG	Heavily Used	Enix/Tenky   	usr041@gt.edu	Card Game			
315	Doctor Who: The Collectible Trading Card Game	Moderately Used	M.M.G. Ltd.   	usr041@gt.edu	Card Game			
316	Monster Hunter Frontier G10	Heavily Used	Action role-playing, Expansion   Capcom	usr041@gt.edu	Video Game		Xbox	Cartridge
317	Star Wars: The Old Republic	Damaged/Missing parts	BioWare   Electronic Arts, LucasArts	usr041@gt.edu	Computer Game		macOS	
318	Battleground 6: Napoleon in Russia	Like New	TalonSoft	usr042@gt.edu	Computer Game		Windows	
319	Baldur's Gate: Tales of the Sword Coast	Damaged/Missing parts	BioWare   Black Isle Studios, Interplay Entertainment	usr042@gt.edu	Computer Game		Linux	
320	Battlefield 1942: Secret Weapons of WWII	Moderately Used		usr042@gt.edu	Computer Game		macOS	
321	Action Quake 2	Lightly Used	The A-Team	usr042@gt.edu	Computer Game		macOS	
322	Emily Wants to Play	Heavily Used	Shawn Hitchcock   SKH Apps	usr042@gt.edu	Computer Game		Windows	
323	Penumbra: Overture	Mint	Frictional Games	usr042@gt.edu	Computer Game		macOS	
324	Baldur's Gate II: Throne of Bhaal	Like New	BioWare   Black Isle Studios, Interplay Entertainment	usr042@gt.edu	Computer Game		macOS	
325	Star Wars Galaxies	Lightly Used	Sony Online Entertainment   Electronic Arts, LucasArts	usr042@gt.edu	Computer Game		Linux	
326	Jak II HD	Like New	Naughty Dog   February 22, 2012	usr042@gt.edu	Video Game		PlayStation	Game card
327	Vrooom! 	Heavily Used	Ikon Games   	usr042@gt.edu	Card Game			
328	Midway's Greatest Arcade Hits: Volume 1	Like New	Digital Eclipse   Midway Home Entertainment	usr043@gt.edu	Video Game		Nintendo	Game card
329	Arcadia	Moderately Used	an out-of-print collectible card game involving combat and terrain   	usr043@gt.edu	Card Game			
330	Metal Slug 3	Like New	Classics   SNK	usr043@gt.edu	Video Game		Xbox	Cartridge
331	Unlimited VS 	Mint		usr043@gt.edu	Card Game			
332	White Night	Damaged/Missing parts		usr044@gt.edu	Computer Game		Linux	
333	Ogre Battle 64: Person of Lordly Caliber	Moderately Used	Quest Corporation   Atlus USANA	usr044@gt.edu	Video Game		Nintendo	Game card
334	Battlefield 1942: Secret Weapons of WWII	Like New	Digital Illusions CE   Electronic Arts	usr044@gt.edu	Computer Game		macOS	
335	Assassin's Creed IV: Black Flag	Like New	Ubisoft Montreal   Ubisoft	usr044@gt.edu	Computer Game		macOS	
336	Initial D Collectible Card Game	Lightly Used	AEG   	usr044@gt.edu	Card Game			
337	Scrapland	Like New	Mercury Steam Entertainment   Deep Silver, Enlight Software	usr044@gt.edu	Computer Game		Windows	
338	Pok�mon Puzzle League	Moderately Used	Nintendo Software Technology   Nintendo	usr044@gt.edu	Video Game		Nintendo	Game card
339	Wasteland 2	Like New	inXile Entertainment   Deep Silver	usr045@gt.edu	Computer Game		Windows	
340	Football Resurrection	Mint	Portal Games Ltd.   	usr045@gt.edu	Card Game			
341	Just Dance 2016	Mint	Ubisoft Paris   	usr045@gt.edu	Video Game		PlayStation	Cartridge
342	Jikkyou Powerful Pro Yakyuu Championship 2017	Moderately Used	Konami   May 25, 2017	usr046@gt.edu	Video Game		PlayStation	Game card
343	NASCAR '99	Lightly Used	EA Sports   	usr046@gt.edu	Video Game		Nintendo	Game card
344	ARMA: Armed Assault	Mint	Bohemia Interactive   505 Games	usr046@gt.edu	Computer Game		Windows	
345	Astebreed	Lightly Used	Edelweiss   Playism	usr046@gt.edu	Computer Game		Windows	
346	Dragon Quest TCG	Mint		usr046@gt.edu	Card Game			
347	The Witcher 3: Wild Hunt	Heavily Used	CD Projekt Red   Atari, Inc	usr046@gt.edu	Computer Game		macOS	
348	Hannibal: Rome vs. Carthage	Mint	Avalon Hill  1996	usr046@gt.edu	Board Game			
349	Ace of Spades	Lightly Used	Jagex	usr046@gt.edu	Computer Game		macOS	
350	Assassin's Creed III	Lightly Used	Ubisoft Montreal   Ubisoft	usr046@gt.edu	Computer Game		macOS	
351	A City Sleeps	Mint	Harmonix Music Systems, Inc	usr046@gt.edu	Computer Game		Windows	
352	Police at Work! 	Mint	Jigsaw Puzzle By Ravensburger NEW	usr047@gt.edu	Jigsaw Puzzle	48		
353	Empire State Building: Night Edition 	Moderately Used		usr047@gt.edu	Jigsaw Puzzle	216		
354	Emily Wants to Play	Moderately Used	Shawn Hitchcock   SKH Apps	usr047@gt.edu	Computer Game		Windows	
355	Thomas & Friends Thomas the Tank Engine	Mint	Floor Puzzle For Kids By Ravensburger	usr047@gt.edu	Jigsaw Puzzle	24		
356	Sins of a Solar Empire	Lightly Used		usr048@gt.edu	Computer Game		Windows	
357	HumanKind 	Lightly Used	SALO   	usr048@gt.edu	Card Game			
358	Beyblade Collectible Card Game 	Heavily Used	Takara   	usr048@gt.edu	Card Game			
359	kkrieger	Like New	.theprodukkt	usr048@gt.edu	Computer Game		Windows	
360	Premier Manager 64	Heavily Used	Dinamic Multimedia   Gremlin Interactive	usr048@gt.edu	Video Game		Nintendo	Game card
361	"Wing Commander Collectible Trading Card Game	"	Like New		usr048@gt.edu	Card Game			
362	Automation - The Car Company Tycoon Game	Damaged/Missing parts	Camshaft Software	usr048@gt.edu	Computer Game		macOS	
363	Doctor Who  Battles in Time 	Mint	GE Fabbri   	usr049@gt.edu	Card Game			
364	The Powerpuff Girls: Chemical X-Traction	Lightly Used	VIS Entertainment   	usr049@gt.edu	Video Game		Nintendo	Game card
365	Call of Cthulhu: Collectible Card Game	Like New	Fantasy Flight Games   	usr049@gt.edu	Card Game			
366	Adam's Venture	Heavily Used		usr049@gt.edu	Computer Game		Windows	
367	Starbound	Moderately Used	Chucklefish	usr049@gt.edu	Computer Game		macOS	
368	Mad Riders	Mint	Racing & Flying   Techland	usr050@gt.edu	Video Game		Xbox	Cartridge
369	Kadesh	Damaged/Missing parts		usr050@gt.edu	Board Game			
370	Stronghold: Crusader Extreme	Heavily Used	Firefly Studios   Gamecock Media Group	usr050@gt.edu	Computer Game		macOS	
371	A.D.A.M. Life's Greatest Mysteries	Lightly Used	Columbia Healthcare Corporation	usr050@gt.edu	Computer Game		Windows	
372	Monaco: What's Yours Is Mine	Heavily Used	Action & Adventure   Pocketwatch Games	usr050@gt.edu	Video Game		Xbox	Cartridge
373	AssaultCube Reloaded (ACR)	Heavily Used	AssaultCube Reloaded Task Force	usr050@gt.edu	Computer Game		macOS	
374	Terror 	Moderately Used	Kris Silver   	usr050@gt.edu	Card Game			
375	AssaultCube Reloaded (ACR)	Damaged/Missing parts	AssaultCube Reloaded Task Force	usr051@gt.edu	Computer Game		macOS	
376	Baldur's Gate II: Shadows of Amn	Heavily Used	BioWare   Black Isle Studios, Interplay Entertainment	usr051@gt.edu	Computer Game		macOS	
377	Portal 2	Damaged/Missing parts	Valve	usr051@gt.edu	Computer Game		Linux	
378	Bakugan: Battle Brawlers (Trading Card Game)	Lightly Used		usr051@gt.edu	Card Game			
379	The Eye of Judgment 	Mint	SCE Japan   	usr051@gt.edu	Card Game			
380	Tomb Raider Collectible Card Game 	Lightly Used	Precedence Entertainment   	usr051@gt.edu	Card Game			
381	Monster High: New Ghoul in School	Like New	Adventure   Little Orbit	usr051@gt.edu	Video Game		Xbox	Cartridge
382	1995	Damaged/Missing parts		usr051@gt.edu	Board Game			
383	Euro Truck Simulator	Lightly Used	SCS Software	usr051@gt.edu	Computer Game		macOS	
384	Battlefield Heroes	Damaged/Missing parts	EA Digital Illusions CE, Easy Studios   Electronic Arts, Aeria Games	usr052@gt.edu	Computer Game		Windows	
385	Disney Castle 	Heavily Used	3D Jigsaw Puzzle By Ravensburger	usr052@gt.edu	Jigsaw Puzzle	216		
386	X-Men 	Lightly Used	Wizards of the Coast   	usr052@gt.edu	Card Game			
387	Black Skylands	Lightly Used		usr052@gt.edu	Computer Game		macOS	
388	Xena: Warrior Princess 	Damaged/Missing parts	Wizards of the Coast   	usr052@gt.edu	Card Game			
389	Towers in Time 	Mint	Thunder Castle Games   	usr052@gt.edu	Card Game			
390	Iliad: The Siege of Troy	Lightly Used	Conflict Games  	usr052@gt.edu	Board Game			
391	Starbound	Damaged/Missing parts	Chucklefish	usr052@gt.edu	Computer Game		macOS	
392	Mortal Kombat Mythologies: Sub-Zero	Mint	Midway Games   	usr052@gt.edu	Video Game		Nintendo	Game card
393	Dark Force	Mint	Schmidt Spiele   	usr052@gt.edu	Card Game			
394	Mass Effect 3	Lightly Used	Action RPG   BioWare	usr052@gt.edu	Video Game		Xbox	Optical disc
395	Gundam Cross War 	Lightly Used	Bandai   	usr053@gt.edu	Card Game			
396	Doctor Who: The Collectible Trading Card Game	Heavily Used	M.M.G. Ltd.   	usr053@gt.edu	Card Game			
397	Minecraft: Xbox 360 Edition	Mint		usr053@gt.edu	Video Game		Xbox	Cartridge
398	World of Warcraft: Battle for Azeroth	Mint		usr053@gt.edu	Computer Game		Windows	
399	Madagascar Kartz	Damaged/Missing parts	Racing   Sidhe Interactive	usr053@gt.edu	Video Game		Xbox	Cartridge
400	Jetpack Joyride	Lightly Used		usr053@gt.edu	Video Game		PlayStation	Cartridge
401	Tempest of the Gods 	Lightly Used	Black Dragon Press   	usr054@gt.edu	Card Game			
402	Patolli	Heavily Used	Mesoamerica  Five or six thrown marked black beans	usr054@gt.edu	Board Game			
403	World in Conflict: Soviet Assault	Heavily Used	Massive Entertainment   Sierra Entertainment (former), Ubisoft	usr054@gt.edu	Computer Game		macOS	
404	Monster Hunter Frontier G10	Heavily Used	Action role-playing, Expansion   Capcom	usr054@gt.edu	Video Game		Xbox	Cartridge
405	K-ON! Ho-kago Live!!	Damaged/Missing parts		usr054@gt.edu	Video Game		PlayStation	Cartridge
406	Xeko 	Lightly Used	Matter Group   	usr054@gt.edu	Card Game			
407	Twain Foolery	Moderately Used		usr055@gt.edu	Jigsaw Puzzle	31		
408	Action Quake 2	Lightly Used	The A-Team	usr055@gt.edu	Computer Game		macOS	
409	Madden NFL 06	Mint	Sports   EA Tiburon	usr055@gt.edu	Video Game		Xbox	Cartridge
410	Brothers in Arms: Earned in Blood	Like New	Gearbox Software   Ubisoft	usr055@gt.edu	Computer Game		Windows	
411	WildStar	Heavily Used	Carbine Studios   NC Soft	usr055@gt.edu	Computer Game		Windows	
412	Postal	Mint	Running with Scissors	usr055@gt.edu	Computer Game		macOS	
413	Anno 1503	Lightly Used	Max Design   Sunflowers	usr055@gt.edu	Computer Game		Linux	
414	Cars 3 	Lightly Used	Jigsaw Puzzles By Ravensburger	usr055@gt.edu	Jigsaw Puzzle	147		
415	MLB Bobblehead Pros	Lightly Used	Sports & Recreation   Konami	usr055@gt.edu	Video Game		Xbox	Optical disc
416	SimCity	Lightly Used	Maxis   Electronic Arts	usr055@gt.edu	Computer Game		Windows	
417	Age of Pirates: Captain Blood	Damaged/Missing parts		usr055@gt.edu	Computer Game		Windows	
418	Typefaces 	Damaged/Missing parts		usr056@gt.edu	Jigsaw Puzzle	500		
419	Toy Story: Made to Play 	Lightly Used	Jigsaw Puzzle By Ravensburger NEW	usr056@gt.edu	Jigsaw Puzzle	35		
420	Kabal	Damaged/Missing parts		usr056@gt.edu	Card Game			
421	Police at Work! 	Damaged/Missing parts	Jigsaw Puzzle By Ravensburger NEW	usr057@gt.edu	Jigsaw Puzzle	48		
422	Just Cause 2	Heavily Used	Avalanche Studios   	usr057@gt.edu	Video Game		PlayStation	Optical disc
423	James Bond 007: Blood Stone	Lightly Used	Bizarre Creations   	usr057@gt.edu	Video Game		PlayStation	Game card
424	AGON	Like New	Private Moon Studios	usr057@gt.edu	Computer Game		macOS	
425	Galactic Empires	Mint		usr057@gt.edu	Card Game			
426	Nushi Tsuri 64: Shiokaze Ni Notte	Mint	Victor Interactive Software   Victor Interactive Software	usr057@gt.edu	Video Game		Nintendo	Game card
427	Megamind: Ultimate Showdown	Mint	Action   THQ	usr058@gt.edu	Video Game		Xbox	Cartridge
428	Age of Wonders II: The Wizard's Throne	Lightly Used	Triumph Studios   Take Two Interactive	usr058@gt.edu	Computer Game		Windows	
429	Meteos Wars	Mint	Puzzle & Trivia   Q Entertainment	usr058@gt.edu	Video Game		Xbox	Game card
430	Pokemon Stadium Gold SilverJP	Mint	Nintendo EAD   Nintendo	usr058@gt.edu	Video Game		Nintendo	Game card
431	NuFX	Heavily Used		usr059@gt.edu	Video Game		Nintendo	Optical disc
432	Warhammer 40	Heavily Used	000 Collectible Card Game   Sabertooth Games	usr059@gt.edu	Card Game			
433	Karateka	Mint	Liquid Entertainment   Unreleased	usr059@gt.edu	Video Game		PlayStation	Game card
434	NFL Quarterback Club 99	Like New	Iguana Entertainment   Acclaim Sports	usr059@gt.edu	Video Game		Nintendo	Game card
435	Sid Meier's Railroads!	Like New	Firaxis Games, Feral Interactive   2K Games, Feral Interactive	usr059@gt.edu	Computer Game		Windows	
436	"Highlander: The Card Game	"	Damaged/Missing parts	Thunder Castle Games   	usr059@gt.edu	Card Game			
437	K-ON! Ho-kago Live!!	Moderately Used		usr059@gt.edu	Video Game		PlayStation	Cartridge
438	Pokemon TCG Online	Damaged/Missing parts	Dire Wolf Digital   The Pokemon Company	usr059@gt.edu	Computer Game		macOS	
439	Yut	Damaged/Missing parts	Korea  Four thrown marked sticks	usr059@gt.edu	Board Game			
440	Battles of Napoleon	Like New		usr059@gt.edu	Computer Game		Windows	
441	Baldur's Gate II: Shadows of Amn	Lightly Used		usr059@gt.edu	Computer Game		macOS	
442	Dimension 0	Lightly Used	Broccoli   	usr060@gt.edu	Card Game			
443	Killing Floor	Moderately Used	Tripwire Interactive	usr060@gt.edu	Computer Game		Windows	
444	Blade Symphony	Like New	Puny Human   Puny Human Games	usr060@gt.edu	Computer Game		macOS	
445	NFL Blitz 2000	Heavily Used		usr060@gt.edu	Video Game		Nintendo	Optical disc
446	Beyond Good & Evil	Heavily Used	Ubisoft Pictures, Ubisoft Milan   Ubisoft	usr060@gt.edu	Computer Game		Windows	
447	Jyhad (AKA Vampire: The Eternal Struggle)	Moderately Used	Wizards of the Coast/White Wolf Publishing Inc./Black Chantry   	usr060@gt.edu	Card Game			
448	Adventure at the Chateau d'Or	Like New	Karma Labs	usr060@gt.edu	Computer Game		Windows	
449	RockMan Dash: Hagane no BoukenshinJP	Lightly Used	Capcom Production Studio 2   Capcom	usr060@gt.edu	Video Game		Nintendo	Cartridge
450	DC Studios	Mint	SouthPeak Interactive   Sports/Soccer	usr060@gt.edu	Video Game		Nintendo	Cartridge
451	World of Warcraft: The Burning Crusade	Like New	Blizzard Entertainment	usr061@gt.edu	Computer Game		macOS	
452	Age of Empires: The Rise of Rome	Lightly Used	Ensemble Studios   Microsoft Game Studios	usr061@gt.edu	Computer Game		Windows	
453	I am Spartacus	Damaged/Missing parts	XTR Corp  1992	usr061@gt.edu	Board Game			
454	Kenshi	Moderately Used	Lo-Fi Games	usr061@gt.edu	Computer Game		Windows	
455	Puyo Puyon Party	Moderately Used	Compile   Compile	usr061@gt.edu	Video Game		Nintendo	Optical disc
456	Journey Collector's Edition	Mint	ThatGameCompany   October 28, 2012	usr061@gt.edu	Video Game		PlayStation	Cartridge
457	Afterparty	Like New	Night School Studio	usr061@gt.edu	Computer Game		Windows	
458	Pokemon Stadium 2JP	Moderately Used		usr062@gt.edu	Video Game		Nintendo	Cartridge
459	AssaultCube Reloaded (ACR)	Mint	AssaultCube Reloaded Task Force	usr062@gt.edu	Computer Game		macOS	
460	World of Warcraft: Mists of Pandaria	Heavily Used		usr062@gt.edu	Computer Game		Windows	
